OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight
10248,VINET,5,00:00.0,00:00.0,00:00.0,3,32.38
10249,TOMSP,6,00:00.0,00:00.0,00:00.0,1,11.61
10250,HANAR,4,00:00.0,00:00.0,00:00.0,2,65.83
10251,VICTE,3,00:00.0,00:00.0,00:00.0,1,41.34
10252,SUPRD,4,00:00.0,00:00.0,00:00.0,2,51.3
10253,HANAR,3,00:00.0,00:00.0,00:00.0,2,58.17
10254,CHOPS,5,00:00.0,00:00.0,00:00.0,2,22.98
10255,RICSU,9,00:00.0,00:00.0,00:00.0,3,148.33
10256,WELLI,3,00:00.0,00:00.0,00:00.0,2,13.97
10257,HILAA,4,00:00.0,00:00.0,00:00.0,3,81.91
10258,ERNSH,1,00:00.0,00:00.0,00:00.0,1,140.51
10259,CENTC,4,00:00.0,00:00.0,00:00.0,3,3.25
10260,OTTIK,4,00:00.0,00:00.0,00:00.0,1,55.09
10261,QUEDE,4,00:00.0,00:00.0,00:00.0,2,3.05
10262,RATTC,8,00:00.0,00:00.0,00:00.0,3,48.29
10263,ERNSH,9,00:00.0,00:00.0,00:00.0,3,146.06
10264,FOLKO,6,00:00.0,00:00.0,00:00.0,3,3.67
10265,BLONP,2,00:00.0,00:00.0,00:00.0,1,55.28
10266,WARTH,3,00:00.0,00:00.0,00:00.0,3,25.73
10267,FRANK,4,00:00.0,00:00.0,00:00.0,1,208.58
10268,GROSR,8,00:00.0,00:00.0,00:00.0,3,66.29
10269,WHITC,5,00:00.0,00:00.0,00:00.0,1,4.56
10270,WARTH,1,00:00.0,00:00.0,00:00.0,1,136.54
10271,SPLIR,6,00:00.0,00:00.0,00:00.0,2,4.54
10272,RATTC,6,00:00.0,00:00.0,00:00.0,2,98.03
10273,QUICK,3,00:00.0,00:00.0,00:00.0,3,76.07
10274,VINET,6,00:00.0,00:00.0,00:00.0,1,6.01
10275,MAGAA,1,00:00.0,00:00.0,00:00.0,1,26.93
10276,TORTU,8,00:00.0,00:00.0,00:00.0,3,13.84
10277,MORGK,2,00:00.0,00:00.0,00:00.0,3,125.77
10278,BERGS,8,00:00.0,00:00.0,00:00.0,2,92.69
10279,LEHMS,8,00:00.0,00:00.0,00:00.0,2,25.83
10280,BERGS,2,00:00.0,00:00.0,00:00.0,1,8.98
10281,ROMEY,4,00:00.0,00:00.0,00:00.0,1,2.94
10282,ROMEY,4,00:00.0,00:00.0,00:00.0,1,12.69
10283,LILAS,3,00:00.0,00:00.0,00:00.0,3,84.81
10284,LEHMS,4,00:00.0,00:00.0,00:00.0,1,76.56
10285,QUICK,1,00:00.0,00:00.0,00:00.0,2,76.83
10286,QUICK,8,00:00.0,00:00.0,00:00.0,3,229.24
10287,RICAR,8,00:00.0,00:00.0,00:00.0,3,12.76
10288,REGGC,4,00:00.0,00:00.0,00:00.0,1,7.45
10289,BSBEV,7,00:00.0,00:00.0,00:00.0,3,22.77
10290,COMMI,8,00:00.0,00:00.0,00:00.0,1,79.7
10291,QUEDE,6,00:00.0,00:00.0,00:00.0,2,6.4
10292,TRADH,1,00:00.0,00:00.0,00:00.0,2,1.35
10293,TORTU,1,00:00.0,00:00.0,00:00.0,3,21.18
10294,RATTC,4,00:00.0,00:00.0,00:00.0,2,147.26
10295,VINET,2,00:00.0,00:00.0,00:00.0,2,1.15
10296,LILAS,6,00:00.0,00:00.0,00:00.0,1,0.12
10297,BLONP,5,00:00.0,00:00.0,00:00.0,2,5.74
10298,HUNGO,6,00:00.0,00:00.0,00:00.0,2,168.22
10299,RICAR,4,00:00.0,00:00.0,00:00.0,2,29.76
10300,MAGAA,2,00:00.0,00:00.0,00:00.0,2,17.68
